migrant_housing,county
8,Apache County,
31,Cochise County,
18,Coconino County,
4,Gila County,
7,Graham County,
2,Greenlee County,
52,La Paz County,
107,Maricopa County,
31,Mohave County,
15,Navajo County,
23,Pima County,
53,Pinal County,
5,Santa Cruz County,
15,Yavapai County,
167,Yuma County,
