migrant_housing,county,
6,Val Verde County,48,465
6,Van Zandt County,48,467
4,Victoria County,48,469
4,Walker County,48,471
6,Waller County,48,473
0,Ward County,48,475
13,Washington County,48,477
6,Webb County,48,479
6,Wharton County,48,481
1,Wheeler County,48,483
3,Wichita County,48,485
4,Wilbarger County,48,487
2,Willacy County,48,489
10,Williamson County,48,491
11,Wilson County,48,493
2,Winkler County,48,495
5,Wise County,48,497
11,Wood County,48,499
26,Yoakum County,48,501
1,Young County,48,503
8,Zapata County,48,505
2,Zavala County,48,507
