migrant_housing,state,
238,AL,
362,AK,
538,AZ,
345,AR,
2100,CA,
524,CO,
55,CT,
43,DE,
8,DC,
1541,FL,
854,GA,
117,HI,
632,ID,
315,IL,
200,IN,
87,IA,
129,KS,
627,KY,
999,LA,
160,ME,
177,MD,
161,MA,
1773,MI,
334,MN,
318,MS,
193,MO,
283,MT,
60,NE,
242,NV,
27,NH,
156,NJ,
229,NM,
892,NY,
1620,NC,
319,ND,
346,OH,
318,OK,
461,OR,
411,PA,
12,RI,
370,SC,
88,SD,
392,TN,
2209,TX,
232,UT,
39,VT,
608,VA,
1328,WA,
118,WV,
249,WI,
322,WY,
99,PR,
